iter	Passed	Remaining
563	2558	1978
564	2563	1973
565	2567	1968
566	2572	1964
567	2576	1959
568	2581	1955
569	2586	1950
570	2590	1946
571	2594	1941
572	2599	1937
573	2603	1932
574	2608	1927
575	2612	1923
576	2617	1918
577	2622	1914
578	2626	1909
579	2630	1905
580	2635	1900
581	2639	1895
582	2643	1891
583	2648	1886
584	2652	1881
585	2656	1876
586	2661	1872
587	2665	1867
588	2669	1863
589	2674	1858
590	2678	1853
591	2683	1849
592	2687	1844
593	2692	1840
594	2696	1835
595	2701	1831
596	2705	1826
597	2710	1821
598	2714	1817
599	2719	1812
600	2723	1808
601	2727	1803
602	2732	1798
603	2736	1794
604	2740	1789
605	2745	1785
606	2750	1780
607	2754	1776
608	2759	1771
609	2764	1767
610	2768	1762
611	2773	1758
612	2778	1753
613	2782	1749
614	2786	1744
615	2791	1740
616	2795	1735
617	2800	1730
618	2804	1726
619	2809	1721
620	2813	1717
621	2818	1712
622	2823	1708
623	2828	1704
624	2832	1699
625	2836	1694
626	2840	1690
627	2845	1685
628	2849	1680
629	2854	1676
630	2858	1671
631	2863	1667
632	2867	1662
633	2872	1658
634	2876	1653
635	2881	1649
636	2885	1644
637	2890	1639
638	2894	1635
639	2899	1630
640	2903	1626
641	2908	1621
642	2912	1617
643	2917	1612
644	2922	1608
645	2926	1603
646	2930	1599
647	2935	1594
648	2940	1590
649	2944	1585
650	2949	1581
651	2953	1576
652	2958	1572
653	2962	1567
654	2967	1563
655	2971	1558
656	2976	1553
657	2981	1549
658	2985	1544
659	2990	1540
660	2994	1535
661	3000	1531
662	3004	1527
663	3008	1522
664	3013	1518
665	3018	1513
666	3022	1509
667	3027	1504
668	3031	1500
669	3036	1495
670	3040	1491
671	3045	1486
672	3050	1481
673	3054	1477
674	3059	1473
675	3064	1469
676	3069	1464
677	3074	1460
678	3079	1455
679	3084	1451
680	3088	1446
681	3094	1442
682	3099	1438
683	3103	1433
684	3108	1429
685	3112	1424
686	3116	1420
687	3121	1415
688	3125	1410
689	3130	1406
690	3134	1401
691	3139	1397
692	3143	1392
